Date,Close/Last,Target_Close_Next_Day,Daily_Return
2023-10-19,220.11,211.99,-22.569999999999997
2023-10-20,211.99,212.08,-8.120000000000005
2023-10-23,212.08,216.52,0.0900000000000034
2023-10-24,216.52,212.42,4.439999999999998
2023-10-25,212.42,205.76,-4.100000000000023
2023-10-26,205.76,207.3,-6.659999999999997
2023-10-27,207.3,197.36,1.5400000000000205
2023-10-30,197.36,200.84,-9.939999999999998
2023-10-31,200.84,205.66,3.4799999999999898
2023-11-01,205.66,218.51,4.819999999999993
2023-11-02,218.51,219.96,12.849999999999994
2023-11-03,219.96,219.27,1.450000000000017
2023-11-06,219.27,222.18,-0.6899999999999977
2023-11-07,222.18,222.11,2.9099999999999966
2023-11-08,222.11,209.98,-0.0699999999999931
2023-11-09,209.98,214.65,-12.130000000000024
2023-11-10,214.65,223.71,4.670000000000016
2023-11-13,223.71,237.41,9.060000000000002
2023-11-14,237.41,242.84,13.699999999999989
2023-11-15,242.84,233.59,5.430000000000007
2023-11-16,233.59,234.3,-9.25
2023-11-17,234.3,235.6,0.710000000000008
2023-11-20,235.6,241.2,1.299999999999983
2023-11-21,241.2,234.21,5.599999999999994
2023-11-22,234.21,235.45,-6.989999999999981
2023-11-24,235.45,236.08,1.239999999999981
2023-11-27,236.08,246.72,0.6300000000000239
2023-11-28,246.72,244.14,10.639999999999986
2023-11-29,244.14,240.08,-2.5800000000000125
2023-11-30,240.08,238.83,-4.059999999999974
2023-12-01,238.83,235.58,-1.25
2023-12-04,235.58,238.72,-3.25
2023-12-05,238.72,239.37,3.1399999999999864
2023-12-06,239.37,242.64,0.6500000000000057
2023-12-07,242.64,243.84,3.269999999999982
2023-12-08,243.84,239.74,1.200000000000017
2023-12-11,239.74,237.01,-4.099999999999994
2023-12-12,237.01,239.29,-2.730000000000018
2023-12-13,239.29,251.05,2.280000000000001
2023-12-14,251.05,253.5,11.76000000000002
2023-12-15,253.5,252.08,2.4499999999999886
2023-12-18,252.08,257.22,-1.4199999999999875
2023-12-19,257.22,247.14,5.140000000000015
2023-12-20,247.14,254.5,-10.08000000000004
2023-12-21,254.5,252.54,7.360000000000014
2023-12-22,252.54,256.61,-1.960000000000008
2023-12-26,256.61,261.44,4.070000000000022
2023-12-27,261.44,253.18,4.829999999999984
2023-12-28,253.18,248.48,-8.259999999999991
2023-12-29,248.48,248.42,-4.700000000000017
2024-01-02,248.42,238.45,-0.0600000000000022
2024-01-03,238.45,237.93,-9.97
2024-01-04,237.93,237.49,-0.5199999999999818
2024-01-05,237.49,240.45,-0.4399999999999977
2024-01-08,240.45,234.96,2.9599999999999795
2024-01-09,234.96,233.94,-5.489999999999981
2024-01-10,233.94,227.22,-1.0200000000000102
2024-01-11,227.22,218.89,-6.719999999999999
2024-01-12,218.89,219.91,-8.330000000000013
2024-01-16,219.91,215.55,1.0200000000000102
2024-01-17,215.55,211.88,-4.359999999999985
2024-01-18,211.88,212.19,-3.670000000000016
2024-01-19,212.19,208.8,0.3100000000000023
2024-01-22,208.8,209.14,-3.3899999999999864
2024-01-23,209.14,207.83,0.339999999999975
2024-01-24,207.83,182.63,-1.309999999999974
2024-01-25,182.63,183.25,-25.200000000000017
2024-01-26,183.25,190.93,0.6200000000000045
2024-01-29,190.93,191.59,7.680000000000007
2024-01-30,191.59,187.29,0.6599999999999966
2024-01-31,187.29,188.86,-4.300000000000011
2024-02-01,188.86,187.91,1.5700000000000216
2024-02-02,187.91,181.06,-0.950000000000017
2024-02-05,181.06,185.1,-6.849999999999994
2024-02-06,185.1,187.58,4.039999999999992
2024-02-07,187.58,189.56,2.480000000000018
2024-02-08,189.56,193.57,1.9799999999999895
2024-02-09,193.57,188.13,4.009999999999991
2024-02-12,188.13,184.02,-5.439999999999998
2024-02-13,184.02,188.71,-4.109999999999985
2024-02-14,188.71,200.45,4.689999999999998
2024-02-15,200.45,199.95,11.73999999999998
2024-02-16,199.95,193.76,-0.5
2024-02-20,193.76,194.77,-6.189999999999998
2024-02-21,194.77,197.41,1.010000000000019
2024-02-22,197.41,191.97,2.6399999999999864
2024-02-23,191.97,199.4,-5.439999999999998
2024-02-26,199.4,199.73,7.430000000000007
2024-02-27,199.73,202.04,0.3299999999999841
2024-02-28,202.04,201.88,2.3100000000000023
2024-02-29,201.88,202.64,-0.1599999999999966
2024-03-01,202.64,188.14,0.7599999999999909
2024-03-04,188.14,180.74,-14.5
2024-03-05,180.74,176.54,-7.399999999999977
2024-03-06,176.54,178.65,-4.200000000000017
2024-03-07,178.65,175.34,2.1100000000000136
2024-03-08,175.34,177.77,-3.3100000000000023
2024-03-11,177.77,177.54,2.430000000000007
2024-03-12,177.54,169.48,-0.2300000000000182
2024-03-13,169.48,162.5,-8.060000000000002
2024-03-14,162.5,163.57,-6.97999999999999
2024-03-15,163.57,173.8,1.0699999999999932
